co2,co2_per_capita,oil_co2,oil_co2_per_capita,co2_growth_prct,co2_growth_abs,cumulative_co2,cumulative_oil_co2,share_global_co2,share_global_oil_co2,share_global_cumulative_co2,share_global_cumulative_oil_co2,population
1356.719,1.119,531.115,0.438,2.57,33.984,42106.205,14651.27,3.83,4.44,2.71,2.69,1213040542.0
1384.372,1.113,534.341,0.43,2.04,27.653,43490.577,15185.611,3.85,4.4,2.74,2.73,1244222269.0
1385.645,1.086,521.988,0.409,0.09,1.273,44876.222,15707.598,3.78,4.28,2.76,2.76,1275921014.0
1408.479,1.077,529.216,0.405,1.65,22.834,46284.701,16236.815,3.84,4.33,2.79,2.79,1308064176.0
1326.044,0.99,471.446,0.352,-5.85,-82.435,47610.745,16708.261,3.81,4.26,2.81,2.82,1340598111.0
4.228,1.289,2.228,0.679,-22.34,-1.216,176.645,95.078,0.02,0.02,0.02,0.03,3280397.0
2.495,0.769,1.416,0.436,-40.99,-1.733,179.14,96.494,0.01,0.02,0.02,0.03,3245887.0
2.316,0.725,1.478,0.462,-7.2,-0.18,181.456,97.972,0.01,0.02,0.02,0.03,3195196.0
1.913,0.608,1.605,0.51,-17.41,-0.403,183.369,99.577,0.01,0.02,0.02,0.03,3146518.0
2.066,0.664,1.773,0.57,8.05,0.154,185.435,101.35,0.01,0.02,0.02,0.03,3112923.0
1.993,0.643,1.755,0.566,-3.55,-0.073,187.428,103.105,0.01,0.02,0.02,0.03,3098699.0
1.532,0.494,1.411,0.455,-23.16,-0.462,188.96,104.516,0.01,0.01,0.02,0.03,3099747.0
1.744,0.561,1.623,0.522,13.88,0.213,190.704,106.139,0.01,0.02,0.02,0.03,3110699.0
2.975,0.953,2.792,0.894,70.59,1.231,193.679,108.931,0.01,0.03,0.02,0.03,3122700.0
3.004,0.96,2.84,0.908,0.99,0.029,196.684,111.771,0.01,0.03,0.02,0.03,3129246.0
3.221,1.029,3.125,0.999,7.2,0.216,199.904,114.896,0.01,0.03,0.02,0.03,3129701.0
3.748,1.199,3.638,1.164,16.38,0.528,203.652,118.535,0.01,0.04,0.02,0.03,3126183.0
4.232,1.357,3.891,1.248,12.9,0.484,207.884,122.426,0.02,0.04,0.02,0.03,3118017.0
4.104,1.322,3.759,1.211,-3.03,-0.128,211.988,126.185,0.01,0.03,0.02,0.03,3104893.0
4.199,1.36,3.91,1.267,2.32,0.095,216.187,130.095,0.01,0.04,0.02,0.03,3086810.0
3.844,1.255,3.54,1.156,-8.46,-0.355,220.031,133.634,0.01,0.03,0.02,0.03,3063021.0
3.829,1.262,3.375,1.112,-0.38,-0.015,223.859,137.009,0.01,0.03,0.02,0.03,3033993.0
4.272,1.423,3.796,1.264,11.58,0.443,228.132,140.805,0.01,0.03,0.02,0.03,3002683.0
4.254,1.431,3.415,1.149,-0.43,-0.018,232.386,144.22,0.01,0.03,0.02,0.03,2973044.0
4.448,1.509,3.492,1.184,4.57,0.194,236.834,147.712,0.01,0.03,0.02,0.03,2948029.0
5.031,1.718,3.774,1.289,13.1,0.583,241.864,151.486,0.01,0.03,0.02,0.03,2928601.0
4.668,1.602,3.155,1.083,-7.21,-0.363,246.532,154.641,0.01,0.03,0.02,0.03,2914091.0
4.928,1.697,3.331,1.147,5.57,0.26,251.46,157.971,0.01,0.03,0.02,0.03,2903788.0
5.621,1.941,3.856,1.331,14.05,0.692,257.081,161.827,0.02,0.03,0.02,0.03,2896307.0
4.496,1.555,3.338,1.155,-20.01,-1.125,261.577,165.165,0.01,0.03,0.02,0.03,2890524.0
4.492,1.556,3.36,1.164,-0.08,-0.004,266.069,168.525,0.01,0.03,0.02,0.03,2886427.0
5.302,1.838,4.079,1.414,18.03,0.81,271.37,172.603,0.01,0.03,0.02,0.03,2884169.0
4.734,1.642,3.331,1.155,-10.71,-0.568,276.104,175.934,0.01,0.03,0.02,0.03,2882735.0
4.863,1.688,3.379,1.173,2.74,0.13,280.968,179.313,0.01,0.03,0.02,0.03,2880913.0
4.535,1.576,3.14,1.091,-6.76,-0.329,285.503,182.453,0.01,0.03,0.02,0.03,2877800.0
78.807,2.985,26.066,0.987,2.7,2.069,1306.125,454.599,0.34,0.27,0.16,0.16,26400468.0
79.883,2.956,28.678,1.061,1.37,1.076,1386.008,483.277,0.35,0.31,0.16,0.17,27028330.0
81.944,2.965,27.993,1.013,2.58,2.061,1467.952,511.27,0.36,0.3,0.17,0.17,27635517.0
86.147,3.053,30.45,1.079,5.13,4.204,1554.1,541.72,0.38,0.33,0.17,0.18,28213777.0
94.981,3.303,27.081,0.942,10.25,8.834,1649.081,568.801,0.4,0.29,0.18,0.18,28757788.0
96.786,3.307,27.407,0.936,1.9,1.805,1745.867,596.207,0.4,0.29,0.18,0.18,29266415.0
87.005,2.925,30.019,1.009,-10.11,-9.782,1832.872,626.226,0.36,0.31,0.19,0.19,29742980.0
106.621,3.531,33.09,1.096,22.55,19.616,1939.493,659.316,0.44,0.34,0.19,0.19,30192750.0
91.668,2.993,22.188,0.725,-14.02,-14.953,2031.161,681.504,0.37,0.22,0.2,0.19,30623406.0
82.221,2.649,26.828,0.864,-10.31,-9.447,2113.382,708.332,0.33,0.26,0.2,0.19,31042238.0
83.78,2.664,28.458,0.905,1.9,1.559,2197.163,736.79,0.33,0.27,0.21,0.2,31451513.0
89.407,2.807,29.495,0.926,6.72,5.627,2286.569,766.286,0.34,0.28,0.21,0.2,31855110.0
91.048,2.822,31.943,0.99,1.84,1.641,2377.618,798.228,0.33,0.3,0.21,0.2,32264159.0
87.853,2.687,32.818,1.004,-3.51,-3.195,2465.471,831.047,0.31,0.3,0.21,0.2,32692153.0
106.473,3.212,31.052,0.937,21.19,18.619,2571.944,862.099,0.36,0.28,0.22,0.21,33149720.0
100.203,2.979,35.233,1.047,-5.89,-6.27,2672.147,897.332,0.33,0.31,0.22,0.21,33641007.0
108.402,3.173,38.322,1.122,8.18,8.199,2780.549,935.654,0.34,0.34,0.22,0.21,34166976.0
109.032,3.139,37.363,1.076,0.58,0.63,2889.581,973.017,0.34,0.33,0.23,0.21,34730604.0
120.185,3.401,44.891,1.27,10.23,11.153,3009.766,1017.908,0.38,0.41,0.23,0.22,35333882.0
117.813,3.275,45.365,1.261,-1.97,-2.372,3127.579,1063.274,0.35,0.4,0.23,0.22,35977451.0
119.808,3.268,46.92,1.28,1.69,1.995,3247.386,1110.194,0.35,0.41,0.24,0.23,36661438.0
128.111,3.427,48.539,1.298,6.93,8.303,3375.497,1158.733,0.37,0.42,0.24,0.23,37383899.0
132.435,3.472,51.919,1.361,3.38,4.324,3507.932,1210.652,0.38,0.45,0.24,0.24,38140135.0
142.529,3.662,52.886,1.359,7.62,10.094,3650.46,1263.538,0.4,0.45,0.25,0.24,38923688.0
149.683,3.768,55.59,1.399,5.02,7.154,3800.143,1319.128,0.42,0.47,0.25,0.25,39728020.0
148.929,3.673,54.627,1.347,-0.5,-0.754,3949.072,1373.755,0.42,0.46,0.25,0.25,40551398.0
154.936,3.743,55.308,1.336,4.03,6.007,4104.008,1429.063,0.43,0.46,0.26,0.26,41389174.0
161.487,3.824,54.922,1.301,4.23,6.551,4265.494,1483.985,0.44,0.45,0.26,0.26,42228415.0
166.642,3.871,56.759,1.318,3.19,5.155,4432.136,1540.744,0.45,0.46,0.27,0.26,43053054.0
154.995,3.535,49.33,1.125,-6.99,-11.646,4587.132,1590.074,0.45,0.45,0.27,0.27,43851043.0
0.407,7.177,0.407,7.177,0.0,0.0,0.813,0.813,0.0,0.0,0.0,0.0,56666.0
0.407,6.907,0.407,6.907,0.0,0.0,1.22,1.22,0.0,0.0,0.0,0.0,58882.0
0.41,6.73,0.41,6.73,0.9,0.004,1.63,1.63,0.0,0.0,0.0,0.0,60974.0
0.407,6.489,0.407,6.489,-0.89,-0.004,2.037,2.037,0.0,0.0,0.0,0.0,62676.0
0.425,6.656,0.425,6.656,4.5,0.018,2.462,2.462,0.0,0.0,0.0,0.0,63860.0
0.454,7.059,0.454,7.059,6.9,0.029,2.917,2.917,0.0,0.0,0.0,0.0,64363.0
0.465,7.235,0.465,7.235,2.42,0.011,3.382,3.382,0.0,0.0,0.0,0.0,64318.0
0.491,7.655,0.491,7.655,5.51,0.026,3.873,3.873,0.0,0.0,0.0,0.0,64140.0
0.513,7.969,0.513,7.969,4.48,0.022,4.386,4.386,0.0,0.01,0.0,0.0,64367.0
