co2,co2_per_capita,oil_co2,oil_co2_per_capita,co2_growth_prct,co2_growth_abs,cumulative_co2,cumulative_oil_co2,share_global_co2,share_global_oil_co2,share_global_cumulative_co2,share_global_cumulative_oil_co2,population
56.556,0.379,13.399,0.09,4.75,2.565,873.5,300.423,0.16,0.12,0.06,0.06,149273134.0
60.691,0.402,14.88,0.098,7.31,4.135,934.191,315.302,0.17,0.13,0.07,0.06,151005733.0
61.782,0.404,13.959,0.091,1.8,1.09,995.973,329.262,0.18,0.12,0.07,0.06,152761413.0
65.979,0.427,15.785,0.102,6.79,4.197,1061.951,345.047,0.19,0.14,0.07,0.07,154517385.0
73.277,0.469,14.689,0.094,11.06,7.299,1135.229,359.736,0.21,0.12,0.07,0.07,156256287.0
76.477,0.484,15.436,0.098,4.37,3.2,1211.706,375.172,0.22,0.13,0.08,0.07,157977151.0
80.944,0.507,18.708,0.117,5.84,4.466,1292.649,393.881,0.23,0.15,0.08,0.07,159685421.0
82.6,0.512,19.584,0.121,2.05,1.656,1375.249,413.465,0.23,0.16,0.08,0.07,161376713.0
94.215,0.578,19.315,0.118,14.06,11.615,1469.464,432.779,0.26,0.16,0.09,0.07,163046173.0
92.842,0.564,17.404,0.106,-1.46,-1.373,1562.306,450.183,0.27,0.16,0.09,0.08,164689383.0
1.202,4.589,1.059,4.043,12.33,0.132,19.607,18.076,0.01,0.01,0.0,0.01,261911.0
0.973,3.703,0.85,3.234,-19.01,-0.229,20.58,18.926,0.0,0.01,0.0,0.01,262890.0
1.101,4.171,1.033,3.915,13.06,0.127,21.681,19.959,0.0,0.01,0.0,0.01,263869.0
0.739,2.788,0.663,2.504,-32.9,-0.362,22.419,20.622,0.0,0.01,0.0,0.01,264893.0
0.807,3.033,0.736,2.769,9.23,0.068,23.226,21.359,0.0,0.01,0.0,0.01,265955.0
0.823,3.08,0.74,2.772,1.97,0.016,24.048,22.099,0.0,0.01,0.0,0.01,267047.0
0.888,3.312,0.766,2.855,7.99,0.066,24.937,22.865,0.0,0.01,0.0,0.01,268183.0
1.099,4.082,0.938,3.483,23.78,0.211,26.036,23.803,0.0,0.01,0.0,0.01,269334.0
1.162,4.298,0.993,3.671,5.73,0.063,27.198,24.796,0.0,0.01,0.0,0.01,270455.0
1.152,4.241,0.982,3.617,-0.93,-0.011,28.35,25.778,0.0,0.01,0.0,0.01,271511.0
1.186,4.353,1.033,3.79,3.01,0.035,29.536,26.811,0.0,0.01,0.0,0.01,272494.0
1.2,4.387,1.022,3.739,1.12,0.013,30.736,27.833,0.0,0.01,0.0,0.01,273423.0
1.245,4.539,1.059,3.862,3.81,0.046,31.981,28.892,0.0,0.01,0.0,0.01,274331.0
1.27,4.612,1.085,3.94,1.95,0.024,33.251,29.977,0.0,0.01,0.0,0.01,275283.0
1.319,4.774,1.132,4.097,3.91,0.05,34.57,31.109,0.0,0.01,0.0,0.01,276320.0
1.343,4.839,1.15,4.146,1.79,0.024,35.913,32.259,0.0,0.01,0.0,0.01,277475.0
1.363,4.89,1.176,4.22,1.49,0.02,37.275,33.436,0.0,0.01,0.0,0.01,278701.0
1.612,5.759,1.433,5.118,18.31,0.249,38.888,34.868,0.01,0.01,0.0,0.01,279946.0
1.597,5.682,1.448,5.15,-0.94,-0.015,40.485,36.316,0.01,0.01,0.0,0.01,281107.0
1.464,5.189,1.33,4.714,-8.34,-0.133,41.949,37.646,0.0,0.01,0.0,0.01,282131.0
1.517,5.359,1.382,4.882,3.59,0.053,43.465,39.027,0.0,0.01,0.0,0.01,282987.0
1.459,5.143,1.341,4.728,-3.79,-0.057,44.924,40.369,0.0,0.01,0.0,0.01,283698.0
1.437,5.056,1.319,4.64,-1.5,-0.022,46.362,41.688,0.0,0.01,0.0,0.01,284294.0
1.261,4.428,1.165,4.09,-12.25,-0.176,47.623,42.853,0.0,0.01,0.0,0.01,284825.0
1.261,4.421,1.158,4.058,0.01,0.0,48.884,44.01,0.0,0.01,0.0,0.01,285327.0
1.283,4.49,1.18,4.128,1.74,0.022,50.168,45.19,0.0,0.01,0.0,0.01,285798.0
1.17,4.087,1.066,3.725,-8.85,-0.114,51.337,46.256,0.0,0.01,0.0,0.01,286229.0
1.236,4.31,1.117,3.898,5.62,0.066,52.573,47.374,0.0,0.01,0.0,0.01,286640.0
1.215,4.234,1.087,3.788,-1.64,-0.02,53.788,48.461,0.0,0.01,0.0,0.01,287021.0
1.087,3.782,0.962,3.348,-10.58,-0.129,54.875,49.423,0.0,0.01,0.0,0.01,287371.0
96.78,9.525,61.891,6.091,-6.72,-6.977,3127.649,2331.236,0.42,0.64,0.38,0.84,10160785.0
88.859,8.751,46.985,4.627,-8.19,-7.922,3216.508,2378.22,0.39,0.51,0.38,0.83,10154338.0
76.555,7.553,38.557,3.804,-13.85,-12.304,3293.063,2416.777,0.34,0.42,0.38,0.81,10135133.0
62.505,6.184,30.574,3.025,-18.35,-14.05,3355.568,2447.351,0.27,0.33,0.37,0.8,10108280.0
57.508,5.706,27.657,2.744,-7.99,-4.997,3413.076,2475.009,0.25,0.3,0.37,0.78,10077606.0
58.377,5.812,26.753,2.663,1.51,0.869,3471.453,2501.762,0.24,0.28,0.37,0.77,10044854.0
58.92,5.886,24.671,2.465,0.93,0.543,3530.372,2526.433,0.24,0.25,0.36,0.75,10009393.0
57.396,5.757,23.819,2.389,-2.59,-1.523,3587.769,2550.251,0.24,0.24,0.36,0.74,9969986.0
54.902,5.532,20.985,2.114,-4.35,-2.494,3642.671,2571.237,0.22,0.21,0.36,0.72,9924440.0
54.706,5.542,17.858,1.809,-0.36,-0.196,3697.377,2589.095,0.22,0.17,0.35,0.71,9871635.0
54.77,5.582,17.288,1.762,0.12,0.064,3752.148,2606.383,0.22,0.17,0.35,0.69,9811399.0
54.583,5.601,17.036,1.748,-0.34,-0.187,3806.731,2623.419,0.21,0.16,0.35,0.68,9745932.0
56.105,5.796,16.662,1.721,2.79,1.522,3862.836,2640.081,0.21,0.16,0.34,0.66,9679235.0
59.801,6.218,17.38,1.807,6.59,3.696,3922.637,2657.461,0.21,0.16,0.34,0.65,9616628.0
61.127,6.393,17.597,1.84,2.22,1.326,3983.763,2675.058,0.21,0.16,0.34,0.64,9562083.0
63.934,6.718,19.837,2.084,4.59,2.807,4047.697,2694.895,0.21,0.18,0.33,0.63,9516884.0
63.303,6.677,18.755,1.978,-0.99,-0.631,4111.0,2713.65,0.2,0.17,0.33,0.61,9480514.0
65.439,6.923,20.264,2.144,3.37,2.136,4176.439,2733.914,0.2,0.18,0.33,0.6,9452855.0
61.045,6.471,22.755,2.412,-6.72,-4.395,4237.484,2756.669,0.19,0.21,0.32,0.59,9433159.0
62.775,6.664,16.436,1.745,2.83,1.73,4300.259,2773.105,0.19,0.15,0.32,0.58,9420576.0
61.629,6.546,17.556,1.865,-1.83,-1.146,4361.888,2790.661,0.18,0.15,0.32,0.57,9415316.0
62.674,6.655,18.807,1.997,1.7,1.045,4424.562,2809.469,0.18,0.16,0.31,0.56,9417045.0
63.237,6.711,19.349,2.053,0.9,0.563,4487.799,2828.818,0.18,0.17,0.31,0.56,9423502.0
62.609,6.638,18.842,1.998,-0.99,-0.629,4550.408,2847.659,0.18,0.16,0.31,0.55,9431742.0
58.038,6.148,17.758,1.881,-7.3,-4.571,4608.446,2865.417,0.16,0.15,0.3,0.54,9439424.0
59.851,6.336,19.615,2.077,3.13,1.814,4668.297,2885.032,0.17,0.16,0.3,0.53,9445638.0
60.116,6.361,19.037,2.014,0.44,0.264,4728.413,2904.069,0.17,0.16,0.3,0.52,9450233.0
60.962,6.449,17.972,1.901,1.41,0.846,4789.374,2922.041,0.17,0.15,0.29,0.51,9452615.0
61.022,6.456,17.89,1.893,0.1,0.061,4850.397,2939.931,0.17,0.15,0.29,0.51,9452409.0
57.445,6.079,16.8,1.778,-5.86,-3.577,4907.842,2956.73,0.17,0.15,0.29,0.5,9449321.0
123.378,12.289,56.198,5.598,2.55,3.071,9199.924,1844.812,0.53,0.58,1.11,0.66,10039450.0
122.505,12.156,56.634,5.62,-0.71,-0.874,9322.429,1901.446,0.54,0.62,1.09,0.66,10078098.0
121.439,12.001,56.129,5.547,-0.87,-1.066,9443.868,1957.575,0.53,0.61,1.08,0.66,10118684.0
124.808,12.289,57.383,5.65,2.77,3.369,9568.676,2014.958,0.54,0.62,1.06,0.66,10155909.0
125.942,12.364,56.747,5.571,0.91,1.134,9694.617,2071.705,0.54,0.61,1.05,0.66,10186304.0
129.48,12.684,60.546,5.931,2.81,3.538,9824.097,2132.25,0.54,0.63,1.04,0.65,10208265.0
123.983,12.127,58.607,5.732,-4.25,-5.497,9948.081,2190.857,0.51,0.6,1.02,0.65,10223785.0
130.209,12.719,60.326,5.893,5.02,6.226,10078.29,2251.183,0.54,0.61,1.01,0.65,10237298.0
124.701,12.16,56.962,5.554,-4.23,-5.508,10202.991,2308.145,0.51,0.57,1.0,0.65,10255161.0
126.72,12.324,55.734,5.42,1.62,2.02,10329.711,2363.878,0.5,0.54,0.99,0.65,10282046.0
126.065,12.217,59.057,5.723,-0.52,-0.655,10455.776,2422.935,0.5,0.57,0.98,0.64,10319026.0
126.865,12.24,59.085,5.7,0.63,0.799,10582.641,2482.02,0.49,0.57,0.97,0.64,10364879.0
128.25,12.309,59.789,5.738,1.09,1.386,10710.891,2541.809,0.47,0.56,0.95,0.64,10419029.0
128.781,12.288,59.764,5.703,0.41,0.53,10839.672,2601.573,0.45,0.54,0.94,0.64,10480118.0
125.641,11.913,58.09,5.508,-2.44,-3.14,10965.313,2659.663,0.42,0.52,0.93,0.63,10546885.0
123.884,11.666,57.119,5.379,-1.4,-1.757,11089.197,2716.782,0.41,0.51,0.91,0.63,10619484.0
120.48,11.262,55.793,5.216,-2.75,-3.404,11209.676,2772.575,0.38,0.5,0.9,0.63,10697576.0
120.181,11.15,55.365,5.136,-0.25,-0.298,11329.857,2827.94,0.37,0.49,0.89,0.62,10778764.0
107.712,9.918,51.199,4.714,-10.38,-12.469,11437.569,2879.14,0.34,0.47,0.87,0.62,10859934.0
114.544,10.471,51.809,4.736,6.34,6.832,11552.113,2930.948,0.34,0.46,0.86,0.62,10938735.0
105.026,9.536,48.611,4.414,-8.31,-9.518,11657.139,2979.56,0.3,0.43,0.85,0.61,11013860.0
102.386,9.236,47.549,4.289,-2.51,-2.64,11759.525,3027.108,0.29,0.41,0.83,0.61,11085355.0
102.652,9.203,47.311,4.242,0.26,0.267,11862.177,3074.419,0.29,0.41,0.82,0.6,11154008.0
96.868,8.632,46.239,4.121,-5.64,-5.785,11959.045,3120.658,0.27,0.4,0.81,0.6,11221225.0
101.056,8.952,48.188,4.269,4.32,4.188,12060.1,3168.846,0.28,0.41,0.8,0.59,11287931.0
99.872,8.796,47.309,4.167,-1.17,-1.183,12159.972,3216.155,0.28,0.4,0.78,0.59,11354407.0
99.448,8.708,46.592,4.08,-0.42,-0.424,12259.42,3262.747,0.28,0.38,0.77,0.59,11419752.0
100.227,8.729,45.986,4.005,0.78,0.779,12359.648,3308.733,0.27,0.38,0.76,0.58,11482180.0
99.746,8.644,45.482,3.942,-0.48,-0.481,12459.393,3354.215,0.27,0.37,0.75,0.58,11539326.0
83.749,7.226,32.58,2.811,-16.04,-15.997,12543.142,3386.795,0.24,0.29,0.74,0.57,11589616.0
0.407,2.128,0.407,2.128,30.59,0.095,5.595,5.595,0.0,0.0,0.0,0.0,191136.0
0.355,1.829,0.355,1.829,-12.61,-0.051,5.95,5.95,0.0,0.0,0.0,0.0,194324.0
0.377,1.91,0.377,1.91,6.19,0.022,6.328,6.328,0.0,0.0,0.0,0.0,197625.0
0.374,1.853,0.374,1.853,-0.97,-0.004,6.701,6.701,0.0,0.0,0.0,0.0,201679.0
0.377,1.824,0.377,1.824,0.98,0.004,7.079,7.079,0.0,0.0,0.0,0.0,206962.0
0.308,1.44,0.308,1.44,-18.45,-0.07,7.387,7.387,0.0,0.0,0.0,0.0,213660.0
0.388,1.753,0.388,1.753,26.19,0.081,7.775,7.775,0.0,0.0,0.0,0.0,221575.0
0.37,1.607,0.37,1.607,-4.72,-0.018,8.145,8.145,0.0,0.0,0.0,0.0,230248.0
0.348,1.456,0.348,1.456,-5.94,-0.022,8.493,8.493,0.0,0.0,0.0,0.0,238979.0
0.396,1.6,0.396,1.6,13.68,0.048,8.889,8.889,0.0,0.0,0.0,0.0,247310.0
0.447,1.752,0.447,1.752,12.96,0.051,9.336,9.336,0.0,0.0,0.0,0.0,255068.0
0.432,1.648,0.432,1.648,-3.28,-0.015,9.768,9.768,0.0,0.0,0.0,0.0,262387.0
0.432,1.605,0.432,1.605,0.0,0.0,10.201,10.201,0.0,0.0,0.0,0.0,269428.0
0.392,1.418,0.392,1.418,-9.32,-0.04,10.593,10.593,0.0,0.0,0.0,0.0,276516.0
0.421,1.485,0.421,1.485,7.48,0.029,11.014,11.014,0.0,0.0,0.0,0.0,283798.0
0.443,1.522,0.443,1.522,5.22,0.022,11.457,11.457,0.0,0.0,0.0,0.0,291338.0
0.476,1.593,0.476,1.593,7.44,0.033,11.934,11.934,0.0,0.0,0.0,0.0,299031.0
0.436,1.421,0.436,1.421,-8.46,-0.04,12.37,12.37,0.0,0.0,0.0,0.0,306822.0
0.517,1.642,0.517,1.642,18.49,0.081,12.886,12.886,0.0,0.0,0.0,0.0,314655.0
0.539,1.67,0.528,1.636,4.26,0.022,13.425,13.414,0.0,0.0,0.0,0.0,322465.0
0.553,1.675,0.542,1.642,2.72,0.015,13.978,13.956,0.0,0.0,0.0,0.0,330236.0
0.451,1.333,0.443,1.312,-18.54,-0.103,14.429,14.399,0.0,0.0,0.0,0.0,338001.0
0.44,1.272,0.436,1.261,-2.44,-0.011,14.869,14.835,0.0,0.0,0.0,0.0,345707.0
0.469,1.327,0.465,1.317,6.67,0.029,15.338,15.301,0.0,0.0,0.0,0.0,353366.0
0.641,1.776,0.638,1.766,36.72,0.172,15.979,15.938,0.0,0.01,0.0,0.0,360926.0
0.623,1.691,0.619,1.681,-2.86,-0.018,16.602,16.557,0.0,0.01,0.0,0.0,368399.0
0.616,1.638,0.612,1.628,-1.18,-0.007,17.217,17.169,0.0,0.01,0.0,0.0,375775.0
0.605,1.578,0.601,1.569,-1.79,-0.011,17.822,17.77,0.0,0.0,0.0,0.0,383071.0
0.658,1.687,0.649,1.662,8.9,0.054,18.48,18.419,0.0,0.01,0.0,0.0,390351.0
0.583,1.466,0.576,1.448,-11.48,-0.076,19.063,18.995,0.0,0.01,0.0,0.0,397621.0
0.733,0.142,0.66,0.128,16.27,0.103,11.547,10.497,0.0,0.01,0.0,0.0,5149496.0
0.788,0.148,0.714,0.134,7.5,0.055,12.336,11.212,0.0,0.01,0.0,0.0,5331805.0
0.958,0.173,0.879,0.159,21.5,0.169,13.293,12.091,0.0,0.01,0.0,0.0,5521761.0
1.098,0.192,1.033,0.181,14.7,0.141,14.392,13.124,0.0,0.01,0.0,0.0,5714215.0
1.117,0.189,1.037,0.176,1.74,0.019,15.509,14.161,0.0,0.01,0.0,0.0,5905552.0
1.151,0.189,1.085,0.178,2.98,0.033,16.66,15.246,0.0,0.01,0.0,0.0,6094272.0
1.195,0.19,1.118,0.178,3.81,0.044,17.855,16.363,0.0,0.01,0.0,0.0,6281644.0
1.114,0.172,1.114,0.172,-6.76,-0.081,18.969,17.477,0.0,0.01,0.0,0.01,6470275.0
1.462,0.219,1.462,0.219,31.25,0.348,20.43,18.939,0.01,0.01,0.0,0.01,6664102.0
1.473,0.214,1.473,0.214,0.75,0.011,21.903,20.412,0.01,0.01,0.0,0.01,6865946.0
1.689,0.239,1.689,0.239,14.68,0.216,23.592,22.101,0.01,0.02,0.0,0.01,7076728.0
2.11,0.289,1.953,0.268,24.92,0.421,25.703,24.054,0.01,0.02,0.0,0.01,7295400.0
2.394,0.318,2.228,0.296,13.46,0.284,28.097,26.282,0.01,0.02,0.0,0.01,7520556.0
2.594,0.335,2.382,0.307,8.34,0.2,30.69,28.663,0.01,0.02,0.0,0.01,7750003.0
2.49,0.312,2.268,0.284,-4.0,-0.104,33.18,30.931,0.01,0.02,0.0,0.01,7982223.0
3.351,0.408,3.125,0.38,34.6,0.861,36.531,34.057,0.01,0.03,0.0,0.01,8216893.0
3.931,0.465,3.719,0.44,17.3,0.58,40.462,37.776,0.01,0.03,0.0,0.01,8454790.0
3.919,0.451,3.737,0.43,-0.3,-0.012,44.381,41.513,0.01,0.03,0.0,0.01,8696915.0
4.225,0.472,4.001,0.447,7.8,0.306,48.605,45.514,0.01,0.04,0.0,0.01,8944713.0
4.679,0.509,4.437,0.482,10.77,0.455,53.285,49.951,0.01,0.04,0.0,0.01,9199254.0
4.48,0.474,4.247,0.449,-4.27,-0.2,57.765,54.198,0.01,0.04,0.0,0.01,9460829.0
4.403,0.452,4.166,0.428,-1.72,-0.077,62.167,58.364,0.01,0.04,0.0,0.01,9729254.0
4.566,0.456,4.331,0.433,3.71,0.163,66.733,62.695,0.01,0.04,0.0,0.01,10004594.0
4.796,0.466,4.338,0.422,5.04,0.23,71.529,67.033,0.01,0.04,0.0,0.01,10286839.0
5.326,0.504,4.943,0.467,11.04,0.53,76.855,71.976,0.02,0.04,0.01,0.01,10575962.0
6.6,0.607,6.068,0.558,23.94,1.275,83.455,78.043,0.02,0.05,0.01,0.01,10872072.0
6.938,0.621,6.316,0.565,5.11,0.337,90.393,84.359,0.02,0.05,0.01,0.02,11175192.0
7.255,0.632,7.006,0.61,4.57,0.317,97.647,91.365,0.02,0.06,0.01,0.02,11485035.0
7.315,0.62,7.064,0.599,0.83,0.06,104.962,98.429,0.02,0.06,0.01,0.02,11801151.0
6.703,0.553,6.451,0.532,-8.37,-0.612,111.665,104.88,0.02,0.06,0.01,0.02,12123198.0
0.539,8.686,0.539,8.686,7.3,0.037,12.78,12.74,0.0,0.01,0.0,0.0,62012.0
0.462,7.4,0.462,7.4,-14.29,-0.077,13.242,13.201,0.0,0.01,0.0,0.0,62391.0
0.539,8.583,0.539,8.583,16.67,0.077,13.78,13.74,0.0,0.01,0.0,0.0,62750.0
0.531,8.42,0.531,8.42,-1.36,-0.007,14.312,14.271,0.0,0.01,0.0,0.0,63101.0
0.531,8.375,0.531,8.375,0.0,0.0,14.843,14.803,0.0,0.01,0.0,0.0,63439.0
0.528,8.274,0.528,8.274,-0.69,-0.004,15.37,15.33,0.0,0.01,0.0,0.0,63770.0
0.524,8.175,0.524,8.175,-0.69,-0.004,15.894,15.854,0.0,0.01,0.0,0.0,64092.0
0.52,8.08,0.52,8.08,-0.7,-0.004,16.415,16.374,0.0,0.01,0.0,0.0,64390.0
0.513,7.928,0.513,7.928,-1.41,-0.007,16.928,16.887,0.0,0.01,0.0,0.0,64703.0
0.517,7.946,0.517,7.946,0.71,0.004,17.444,17.404,0.0,0.01,0.0,0.0,65016.0
0.528,8.076,0.528,8.076,2.13,0.011,17.972,17.932,0.0,0.01,0.0,0.0,65330.0
0.557,8.483,0.557,8.483,5.56,0.029,18.529,18.489,0.0,0.01,0.0,0.0,65652.0
0.561,8.502,0.561,8.502,0.66,0.004,19.089,19.049,0.0,0.01,0.0,0.0,65936.0
0.583,8.806,0.583,8.806,3.92,0.022,19.672,19.632,0.0,0.01,0.0,0.0,66156.0
0.583,8.792,0.583,8.792,0.0,0.0,20.255,20.214,0.0,0.01,0.0,0.0,66260.0
0.652,9.846,0.652,9.846,11.95,0.07,20.907,20.866,0.0,0.01,0.0,0.0,66240.0
0.729,11.026,0.729,11.026,11.8,0.077,21.636,21.596,0.0,0.01,0.0,0.0,66126.0
0.649,9.835,0.649,9.835,-11.06,-0.081,22.284,22.244,0.0,0.01,0.0,0.0,65940.0
0.476,7.253,0.476,7.253,-26.55,-0.172,22.761,22.72,0.0,0.0,0.0,0.0,65675.0
0.608,9.302,0.608,9.302,27.69,0.132,23.369,23.329,0.0,0.01,0.0,0.0,65388.0
0.443,6.813,0.443,6.813,-27.11,-0.165,23.812,23.772,0.0,0.0,0.0,0.0,65075.0
0.366,5.66,0.366,5.66,-17.36,-0.077,24.179,24.138,0.0,0.0,0.0,0.0,64736.0
0.535,8.309,0.535,8.309,46.0,0.169,24.714,24.673,0.0,0.0,0.0,0.0,64381.0
0.671,10.47,0.671,10.47,25.34,0.136,25.384,25.344,0.0,0.01,0.0,0.0,64038.0
0.539,8.456,0.539,8.456,-19.67,-0.132,25.923,25.882,0.0,0.0,0.0,0.0,63695.0
0.619,9.773,0.619,9.773,14.97,0.081,26.542,26.502,0.0,0.01,0.0,0.0,63360.0
0.63,9.997,0.63,9.997,1.78,0.011,27.172,27.132,0.0,0.01,0.0,0.0,63040.0
0.711,11.325,0.703,11.209,12.79,0.081,27.883,27.835,0.0,0.01,0.0,0.0,62763.0
0.698,11.166,0.687,10.985,-1.8,-0.013,28.581,28.522,0.0,0.01,0.0,0.0,62508.0
0.624,10.028,0.608,9.758,-10.54,-0.074,29.205,29.13,0.0,0.01,0.0,0.0,62273.0
0.175,0.328,0.081,0.151,36.81,0.047,0.923,0.671,0.0,0.0,0.0,0.0,534637.0
0.205,0.383,0.077,0.144,16.68,0.029,1.128,0.748,0.0,0.0,0.0,0.0,534525.0
0.172,0.323,0.084,0.158,-15.93,-0.033,1.3,0.833,0.0,0.0,0.0,0.0,532590.0
0.202,0.379,0.09,0.168,17.13,0.029,1.501,0.922,0.0,0.0,0.0,0.0,531905.0
0.236,0.442,0.103,0.192,17.2,0.035,1.738,1.025,0.0,0.0,0.0,0.0,534629.0
0.284,0.524,0.126,0.233,20.07,0.047,2.021,1.151,0.0,0.0,0.0,0.0,541471.0
0.375,0.68,0.122,0.221,32.34,0.092,2.397,1.273,0.0,0.0,0.0,0.0,551713.0
0.368,0.653,0.128,0.227,-1.88,-0.007,2.765,1.401,0.0,0.0,0.0,0.0,564378.0
0.372,0.644,0.136,0.235,0.98,0.004,3.137,1.537,0.0,0.0,0.0,0.0,577886.0
0.383,0.648,0.147,0.248,2.94,0.011,3.52,1.683,0.0,0.0,0.0,0.0,591014.0
0.369,0.611,0.16,0.264,-3.62,-0.014,3.889,1.843,0.0,0.0,0.0,0.0,603643.0
0.401,0.651,0.169,0.274,8.67,0.032,4.29,2.011,0.0,0.0,0.0,0.0,616025.0
0.36,0.574,0.187,0.298,-10.12,-0.041,4.65,2.198,0.0,0.0,0.0,0.0,627840.0
0.291,0.455,0.198,0.31,-19.31,-0.07,4.941,2.396,0.0,0.0,0.0,0.0,638809.0
0.378,0.583,0.213,0.328,30.14,0.088,5.32,2.609,0.0,0.0,0.0,0.0,648744.0
0.374,0.57,0.22,0.334,-1.08,-0.004,5.694,2.829,0.0,0.0,0.0,0.0,657404.0
0.373,0.562,0.224,0.336,-0.27,-0.001,6.067,3.052,0.0,0.0,0.0,0.0,664873.0
0.401,0.598,0.218,0.325,7.52,0.028,6.469,3.27,0.0,0.0,0.0,0.0,671611.0
0.369,0.544,0.242,0.356,-8.05,-0.032,6.838,3.512,0.0,0.0,0.0,0.0,678329.0
0.465,0.678,0.311,0.454,25.89,0.096,7.303,3.823,0.0,0.0,0.0,0.0,685502.0
0.667,0.963,0.366,0.528,43.62,0.203,7.97,4.19,0.0,0.0,0.0,0.0,693297.0
0.773,1.101,0.438,0.624,15.78,0.105,8.743,4.628,0.0,0.0,0.0,0.0,701582.0
0.853,1.201,0.441,0.622,10.36,0.08,9.596,5.069,0.0,0.0,0.0,0.0,710235.0
0.948,1.319,0.432,0.601,11.22,0.096,10.544,5.501,0.0,0.0,0.0,0.0,719053.0
0.965,1.326,0.451,0.619,1.75,0.017,11.509,5.952,0.0,0.0,0.0,0.0,727885.0
1.156,1.57,0.485,0.659,19.82,0.191,12.665,6.437,0.0,0.0,0.0,0.0,736706.0
1.239,1.662,0.517,0.693,7.14,0.083,13.904,6.954,0.0,0.0,0.0,0.0,745563.0
1.436,1.903,0.583,0.772,15.91,0.197,15.34,7.536,0.0,0.0,0.0,0.0,754396.0
1.927,2.526,0.601,0.787,34.23,0.492,17.268,8.137,0.01,0.0,0.0,0.0,763094.0
1.925,2.495,0.601,0.779,-0.11,-0.002,19.193,8.738,0.01,0.01,0.0,0.0,771612.0
5.972,0.852,3.283,0.468,4.28,0.245,119.337,86.508,0.03,0.03,0.01,0.03,7011456.0
6.621,0.925,3.408,0.476,10.85,0.648,125.957,89.916,0.03,0.04,0.01,0.03,7160917.0
7.792,1.066,3.697,0.505,17.69,1.171,133.749,93.613,0.03,0.04,0.02,0.03,7312857.0
8.594,1.151,4.175,0.559,10.3,0.802,142.343,97.788,0.04,0.05,0.02,0.03,7466792.0
9.8,1.286,5.023,0.659,14.04,1.206,152.143,102.811,0.04,0.05,0.02,0.03,7622334.0
10.086,1.296,5.474,0.704,2.92,0.286,162.229,108.285,0.04,0.06,0.02,0.03,7779268.0
11.256,1.418,5.789,0.729,11.6,1.17,173.485,114.075,0.05,0.06,0.02,0.03,7937453.0
11.246,1.389,6.595,0.814,-0.09,-0.01,184.731,120.67,0.05,0.07,0.02,0.03,8096761.0
10.722,1.298,6.035,0.731,-4.67,-0.525,195.453,126.704,0.04,0.06,0.02,0.04,8257066.0
8.641,1.026,4.946,0.588,-19.41,-2.081,204.093,131.651,0.03,0.05,0.02,0.04,8418270.0
8.292,0.966,5.078,0.592,-4.03,-0.349,212.386,136.729,0.03,0.05,0.02,0.04,8580244.0
8.384,0.959,4.932,0.564,1.1,0.092,220.769,141.661,0.03,0.05,0.02,0.04,8742822.0
9.985,1.121,6.057,0.68,19.1,1.601,230.754,147.717,0.04,0.06,0.02,0.04,8905820.0
10.185,1.123,6.097,0.672,2.01,0.201,240.939,153.814,0.04,0.06,0.02,0.04,9069044.0
11.176,1.21,6.614,0.716,9.73,0.991,252.115,160.428,0.04,0.06,0.02,0.04,9232301.0
11.548,1.229,6.484,0.69,3.33,0.372,263.663,166.911,0.04,0.06,0.02,0.04,9395449.0
12.663,1.325,7.178,0.751,9.65,1.115,276.325,174.089,0.04,0.06,0.02,0.04,9558438.0
13.554,1.394,7.542,0.776,7.04,0.891,289.879,181.631,0.04,0.07,0.02,0.04,9721457.0
14.229,1.44,7.669,0.776,4.99,0.676,304.109,189.3,0.05,0.07,0.02,0.04,9884790.0
15.426,1.535,8.156,0.812,8.41,1.197,319.535,197.456,0.05,0.07,0.02,0.04,10048597.0
16.992,1.664,8.953,0.877,10.15,1.566,336.527,206.409,0.05,0.08,0.02,0.04,10212951.0
17.779,1.713,9.548,0.92,4.63,0.786,354.306,215.957,0.05,0.08,0.03,0.04,10377677.0
19.094,1.811,10.354,0.982,7.4,1.315,373.4,226.312,0.05,0.09,0.03,0.04,10542375.0
20.717,1.935,11.058,1.033,8.5,1.623,394.116,237.37,0.06,0.1,0.03,0.05,10706517.0
21.278,1.958,11.527,1.06,2.71,0.561,415.394,248.897,0.06,0.1,0.03,0.05,10869732.0
22.795,2.066,12.038,1.091,7.13,1.518,438.19,260.935,0.06,0.1,0.03,0.05,11031822.0
23.562,2.105,12.754,1.14,3.36,0.766,461.751,273.689,0.07,0.11,0.03,0.05,11192853.0
23.856,2.101,12.892,1.136,1.25,0.294,485.607,286.581,0.07,0.11,0.03,0.05,11353140.0
23.848,2.071,12.924,1.123,-0.03,-0.008,509.455,299.505,0.06,0.11,0.03,0.05,11513102.0
20.7,1.773,11.402,0.977,-13.2,-3.148,530.155,310.908,0.06,0.1,0.03,0.05,11673029.0
0.197,14.661,0.197,14.661,-20.2,-0.05,22.758,22.758,0.0,0.0,0.0,0.01,13430.0
0.162,11.64,0.162,11.64,-17.61,-0.035,22.92,22.92,0.0,0.0,0.0,0.01,13936.0
0.25,17.329,0.25,17.329,54.37,0.088,23.171,23.171,0.0,0.0,0.0,0.01,14451.0
